trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
R11+1+S4+1,6:05:00,6:05:00,S107_1,1,,0,1
R11+1+S4+1,6:06:00,6:06:00,S108_1,2,,0,0
R11+1+S4+1,6:07:00,6:07:00,S109_1,3,,0,0
R11+1+S4+1,6:08:00,6:08:00,S110_1,4,,0,0
R11+1+S4+1,6:09:00,6:09:00,S111_1,5,,0,0
R11+1+S4+1,6:11:00,6:11:00,S112_1,6,,0,0
R11+1+S4+1,6:12:00,6:12:00,S113_1,7,,0,0
R11+1+S4+1,6:17:00,6:17:00,S114_1,8,,0,0
R11+1+S4+1,6:25:00,6:25:00,S115_1,9,,1,0
R11+1+S4+2,6:55:00,6:55:00,S107_1,1,,0,1
R11+1+S4+2,6:56:00,6:56:00,S108_1,2,,0,0
R11+1+S4+2,6:57:00,6:57:00,S109_1,3,,0,0
R11+1+S4+2,6:58:00,6:58:00,S110_1,4,,0,0
R11+1+S4+2,6:59:00,6:59:00,S111_1,5,,0,0
R11+1+S4+2,7:01:00,7:01:00,S112_1,6,,0,0
R11+1+S4+2,7:02:00,7:02:00,S113_1,7,,0,0
R11+1+S4+2,7:07:00,7:07:00,S114_1,8,,0,0
R11+1+S4+2,7:15:00,7:15:00,S115_1,9,,1,0
R11+1+S4+3,7:25:00,7:25:00,S107_1,1,,0,1
R11+1+S4+3,7:26:00,7:26:00,S108_1,2,,0,0
R11+1+S4+3,7:27:00,7:27:00,S109_1,3,,0,0
R11+1+S4+3,7:28:00,7:28:00,S110_1,4,,0,0
R11+1+S4+3,7:29:00,7:29:00,S111_1,5,,0,0
R11+1+S4+3,7:31:00,7:31:00,S112_1,6,,0,0
R11+1+S4+3,7:32:00,7:32:00,S113_1,7,,0,0
R11+1+S4+3,7:37:00,7:37:00,S114_1,8,,0,0
R11+1+S4+3,7:45:00,7:45:00,S115_1,9,,1,0
R11+1+S4+4,8:00:00,8:00:00,S107_1,1,,0,1
R11+1+S4+4,8:01:00,8:01:00,S108_1,2,,0,0
R11+1+S4+4,8:02:00,8:02:00,S109_1,3,,0,0
R11+1+S4+4,8:03:00,8:03:00,S110_1,4,,0,0
R11+1+S4+4,8:04:00,8:04:00,S111_1,5,,0,0
R11+1+S4+4,8:06:00,8:06:00,S112_1,6,,0,0
R11+1+S4+4,8:07:00,8:07:00,S113_1,7,,0,0
R11+1+S4+4,8:12:00,8:12:00,S114_1,8,,0,0
R11+1+S4+4,8:20:00,8:20:00,S115_1,9,,1,0
R11+1+S4+5,8:30:00,8:30:00,S107_1,1,,0,1
R11+1+S4+5,8:31:00,8:31:00,S108_1,2,,0,0
R11+1+S4+5,8:32:00,8:32:00,S109_1,3,,0,0
R11+1+S4+5,8:33:00,8:33:00,S110_1,4,,0,0
R11+1+S4+5,8:34:00,8:34:00,S111_1,5,,0,0
R11+1+S4+5,8:36:00,8:36:00,S112_1,6,,0,0
R11+1+S4+5,8:37:00,8:37:00,S113_1,7,,0,0
R11+1+S4+5,8:42:00,8:42:00,S114_1,8,,0,0
R11+1+S4+5,8:50:00,8:50:00,S115_1,9,,1,0
R11+1+S4+6,9:45:00,9:45:00,S107_1,1,,0,1
R11+1+S4+6,9:46:00,9:46:00,S108_1,2,,0,0
R11+1+S4+6,9:47:00,9:47:00,S109_1,3,,0,0
R11+1+S4+6,9:48:00,9:48:00,S110_1,4,,0,0
R11+1+S4+6,9:49:00,9:49:00,S111_1,5,,0,0
R11+1+S4+6,9:51:00,9:51:00,S112_1,6,,0,0
R11+1+S4+6,9:52:00,9:52:00,S113_1,7,,0,0
R11+1+S4+6,9:57:00,9:57:00,S114_1,8,,0,0
R11+1+S4+6,10:05:00,10:05:00,S115_1,9,,1,0
R11+1+S4+7,10:45:00,10:45:00,S107_1,1,,0,1
R11+1+S4+7,10:46:00,10:46:00,S108_1,2,,0,0
